tempo,x,y,z
0,9.300277,0.20470424,3.5913026
1,9.218874,0.20350714,3.5637693
2,9.181764,0.11492168,3.4596214
3,9.248801,0.076614454,3.4739866
4,9.194932,0.1376666,3.5577838
5,9.165004,0.18555063,3.6104562
6,9.169792,0.130484,3.5913026
7,9.271546,0.033518825,3.4584243
8,9.330204,0.05626374,3.4368765
9,9.275137,0.15442601,3.58412
10,9.176975,0.18315643,3.582923
11,9.0081835,0.08499416,3.727772
12,9.100361,0.1592144,3.4272997
13,9.446322,0.18195933,3.4332852
14,9.153033,0.1352724,3.9001546
15,8.902839,0.22266077,3.7732618
16,8.980651,0.22266077,3.4165258
17,9.436746,0.08738836,3.4284968
18,9.664195,-0.0035913025,3.3877954
19,9.504981,0.021547815,3.4644098
20,8.9998045,0.09696517,3.5661635
21,8.842984,0.16519992,3.6020765
22,9.138668,0.06464344,3.5649664
23,9.217676,-0.021547815,3.5051112
24,9.313444,-0.079008654,3.4165258
25,9.469068,-0.05746084,3.394978
26,9.478644,-0.0023942017,3.4045548
27,9.28232,0.04309563,3.4021606
28,9.157822,0.1340753,3.466804
29,8.956709,0.10295067,3.620033
30,9.0716305,0.050278235,3.964798
31,9.356541,0.031124622,4.0557775
32,9.572019,0.08379706,3.691859
33,9.627085,0.1388637,3.2609026
34,9.528923,0.17717093,3.2202013
35,9.306262,0.20829555,3.5098996
36,8.959103,0.22744916,3.7253778
37,8.66701,0.2681506,3.6942532
38,8.520964,0.25139117,3.6750996
39,8.62152,0.21547815,3.8019924
40,8.860941,0.21308395,3.9025488
41,9.040505,0.20350714,3.8355112
42,9.172187,0.18914193,3.7110126
43,9.361329,0.20111294,3.6343982
44,9.469068,0.21787235,3.608062
45,9.445126,0.24420857,3.5817258
46,9.320627,0.2896984,3.5793316
47,9.200917,0.34715924,3.6415808
48,9.112331,0.39025488,3.7541082
49,9.0237465,0.35194764,3.845088
50,8.9758625,0.24420857,3.9121256
51,8.99741,0.110133275,3.845088
52,9.078813,0.011971008,3.6607344
53,9.181764,-0.031124622,3.4476504
54,9.272743,-0.045489833,3.3039982
55,9.303867,-0.038307227,3.3279405
56,9.303867,-0.0047884034,3.4715924
57,9.263166,0.059855044,3.6511576
58,9.205706,0.15562311,3.7588966
59,9.138668,0.25378537,3.7565024
60,9.088389,0.34955344,3.7780502
61,9.090784,0.39983168,3.857059
62,9.102755,0.4141969,3.9600096
63,9.102755,0.39743748,3.9695864
64,9.090784,0.33997664,3.928885
65,9.090784,0.23942018,3.821146
66,9.095572,0.079008654,3.6272156
67,9.109938,-0.088585466,3.454833
68,9.208099,-0.21547815,3.3542767
69,9.344569,-0.2705448,3.2609026
70,9.442732,-0.2825158,3.1962593
71,9.497798,-0.25617957,3.1052797
72,9.466674,-0.19632454,3.1890767
73,9.346964,-0.12689269,3.5314474
74,9.205706,-0.047884032,3.8762126
75,9.186552,0.090979666,3.845088
76,9.277532,0.18914193,3.5649664
77,9.435549,0.18674773,3.6056678
78,9.433155,0.23702596,3.7541082
79,9.054871,0.22744916,3.6990416
80,8.719683,0.18674773,3.7205894
81,8.678981,0.20829555,3.8642416
82,8.678981,0.2633622,3.8522706
83,8.690952,0.29448682,3.6750996
84,8.89446,0.32321724,3.5984852
85,9.188946,0.38307226,3.6846764
86,9.368511,0.37828386,3.7541082
87,9.449914,0.31364042,3.8067808
88,9.485827,0.25378537,3.892972
89,9.43076,0.18195933,3.9456444
90,9.263166,0.110133275,3.8833952
91,9.0429,0.07182605,3.7900212
92,8.880095,0.04309563,3.7134068
93,8.846576,0.038307227,3.6990416
94,8.916007,0.023942016,3.7421372
95,9.059659,-0.038307227,3.8235402
96,9.16261,-0.10534488,3.8283286
97,9.184157,-0.16998832,3.7301662
98,9.203311,-0.22744916,3.632004
99,9.248801,-0.24660277,3.632004
100,9.215282,-0.24181437,3.643975
